,Corr,Cond,Pred Model,Param
145,0.7947213723373904,"low BMP4,high RA RF",Mult,beta
146,0.645486585266488,"low BMP4,high RA RF",Mult,gamma
147,-0.06811191711905355,"low BMP4,high RA all",Add Neg,b
148,0.45988402151783075,"low BMP4,high RA all",Add Neg,beta
149,0.014256494747758,"low BMP4,high RA all",Add Neg,gamma
150,0.011418091466571143,"low BMP4,high RA RF",Add Neg,b
151,0.13928079860209505,"low BMP4,high RA RF",Add Neg,beta
152,0.014691705129568366,"low BMP4,high RA RF",Add Neg,gamma
153,0.2975912898607481,"low BMP4,high RA all",Add,b
154,0.7060229418010853,"low BMP4,high RA all",Add,beta
155,0.1451030788187521,"low BMP4,high RA all",Add,gamma
156,0.4381911855061099,"low BMP4,high RA RF",Add,b
157,0.696640676050688,"low BMP4,high RA RF",Add,beta
158,0.5549313116941694,"low BMP4,high RA RF",Add,gamma
159,0.7027343138270897,"low BMP4,high RA logreg",Mult,b
160,0.7472491925777693,"low BMP4,high RA logreg",Mult,beta
161,0.7604779126358724,"low BMP4,high RA logreg",Mult,gamma
